# ipv6 w/ 0%    ipv6 w/ 1%  ipv6 w/ 10% ipv4 w/ 0%  ipv4 w/ 1%  ipv4 w/ 10% dummie-row
1.514   1.494   2.083   1.545   1.583   1.925   1   2
1.487   1.499   1.824   1.467   1.461   1.826   1   2
1.493   1.45    2.101   1.49    1.591   1.887   1   2
1.514   1.494   1.915   1.495   1.563   1.92    1   2
1.476   1.539   1.792   1.48    1.481   1.808   1   2
1.526   1.62    2.239   1.516   1.478   2.09    1   2
1.498   1.5     1.741   1.479   1.456   1.761   1   2
1.55    1.565   1.803   1.503   1.479   1.786   1   2
1.502   1.525   1.872   1.503   1.598   1.825   1   2
1.494   1.49    1.93    1.508   1.521   1.953   1   2
1.461   1.636   1.599   1.493   1.471   1.759   1   2
1.445   1.467   1.82    1.503   1.496   1.72    1   2
1.451   1.484   1.827   1.494   1.502   2.099   1   2
1.498   1.461   1.891   1.483   1.507   1.74    1   2
1.492   1.567   1.98    1.534   1.504   1.772   1   2
1.53    1.658   2.059   1.441   1.457   2.216   1   2
